"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.013862500E-1,-1.858984828E-1,-6.445177794E-1,-9.123815596E-2
6.033907290E-1,-1.880290061E-1,-6.413219571E-1,-9.230342507E-2
6.053952090E-1,-1.901595294E-1,-6.391914487E-1,-9.123815596E-2
6.073996880E-1,-1.869637370E-1,-6.434525251E-1,-9.656447172E-2
6.094041670E-1,-1.869637370E-1,-6.413219571E-1,-9.869500250E-2
6.114086460E-1,-1.890942603E-1,-6.370609403E-1,-1.072171107E-1
6.134131250E-1,-1.901595294E-1,-6.349303722E-1,-1.114781648E-1
6.154176040E-1,-1.890942603E-1,-6.306693554E-1,-1.146739572E-1
6.174220840E-1,-1.869637370E-1,-6.232125163E-1,-1.157392189E-1
6.194265630E-1,-1.890942603E-1,-6.200166941E-1,-1.221307963E-1
6.214310420E-1,-1.901595294E-1,-6.136251092E-1,-1.274571121E-1
6.234355210E-1,-1.933553219E-1,-6.104293466E-1,-1.327834427E-1
6.254400000E-1,-1.944205761E-1,-6.136251092E-1,-1.391750127E-1
6.274444790E-1,-1.933553219E-1,-6.125598550E-1,-1.466318667E-1
6.294489590E-1,-1.827026904E-1,-6.242777705E-1,-1.668718755E-1
6.314534380E-1,-1.763111055E-1,-6.285387874E-1,-1.935034543E-1
6.334579170E-1,-1.741805822E-1,-6.317346096E-1,-2.105476707E-1
6.354623960E-1,-1.699195206E-1,-6.274735332E-1,-2.339834720E-1
6.374668750E-1,-1.795068979E-1,-6.125598550E-1,-2.435708344E-1
6.394713540E-1,-1.827026904E-1,-6.051030159E-1,-2.488971651E-1
6.414758340E-1,-1.880290061E-1,-5.997766852E-1,-2.542234659E-1
6.434803130E-1,-1.901595294E-1,-5.944503546E-1,-2.691371739E-1
6.454847920E-1,-1.901595294E-1,-6.008419394E-1,-2.829855978E-1
6.474892710E-1,-1.922900528E-1,-5.944503546E-1,-2.893771827E-1
6.494937500E-1,-2.008121610E-1,-5.795366764E-1,-2.915076911E-1
6.514982290E-1,-2.050732225E-1,-5.752756596E-1,-3.000298142E-1
6.535027090E-1,-2.008121610E-1,-5.742103457E-1,-3.064213991E-1
6.555071880E-1,-2.040079534E-1,-5.710145831E-1,-3.149434924E-1
6.575116670E-1,-2.093342692E-1,-5.720798373E-1,-3.160087466E-1
6.595161460E-1,-2.061384767E-1,-5.752756596E-1,-3.234656155E-1
6.615206250E-1,-2.061384767E-1,-5.742103457E-1,-3.277266622E-1
6.635251040E-1,-2.061384767E-1,-5.678187609E-1,-3.319877088E-1
6.655295840E-1,-2.125300616E-1,-5.688840747E-1,-3.277266622E-1
6.675340630E-1,-2.093342692E-1,-5.752756596E-1,-3.319877088E-1
6.695385420E-1,-2.103995383E-1,-5.763409138E-1,-3.319877088E-1
6.715430210E-1,-2.093342692E-1,-5.806019306E-1,-3.341182470E-1
6.735475000E-1,-2.061384767E-1,-5.912545919E-1,-3.351835012E-1
6.755519790E-1,-1.954858452E-1,-6.338651180E-1,-3.628803492E-1
6.775564590E-1,-1.944205761E-1,-6.604967117E-1,-3.873814046E-1
6.795609380E-1,-1.933553219E-1,-6.903240681E-1,-4.033603668E-1
6.815654170E-1,-1.912247986E-1,-7.297388315E-1,-4.161435366E-1
6.835698960E-1,-1.976163685E-1,-7.989809513E-1,-4.406445920E-1
6.855743750E-1,-2.018774301E-1,-8.565052152E-1,-4.523624778E-1
6.875788540E-1,-2.061384767E-1,-9.023115635E-1,-4.726024866E-1
6.895833340E-1,-2.072037458E-1,-9.406610131E-1,-4.917772412E-1
6.915878130E-1,-2.157258540E-1,-9.704884291E-1,-5.120172501E-1
6.935922920E-1,-2.231826931E-1,-1.001381040E0,-5.269309282E-1
6.955967710E-1,-2.295742780E-1,-1.021620989E0,-5.397140980E-1
6.976012500E-1,-2.412921786E-1,-1.040795684E0,-5.493014455E-1
6.996057290E-1,-2.487490177E-1,-1.056774616E0,-5.588888526E-1
7.016102090E-1,-2.540753484E-1,-1.078079939E0,-5.567583442E-1
7.036146880E-1,-2.572711110E-1,-1.102580905E0,-5.567583442E-1
7.056191670E-1,-2.572711110E-1,-1.121755719E0,-5.610193610E-1
7.076236460E-1,-2.583363652E-1,-1.139865160E0,-5.588888526E-1
7.096281250E-1,-2.572711110E-1,-1.160105228E0,-5.674109459E-1
7.116326040E-1,-2.551405728E-1,-1.192063093E0,-5.684762001E-1
7.136370840E-1,-2.572711110E-1,-1.216564178E0,-5.706067681E-1
7.156415630E-1,-2.540753484E-1,-1.237869382E0,-5.727372766E-1
7.176460420E-1,-2.487490177E-1,-1.252783060E0,-5.769983530E-1
7.196505210E-1,-2.434227020E-1,-1.275153637E0,-5.780636072E-1
7.216550000E-1,-2.402269095E-1,-1.297524214E0,-5.780636072E-1
7.236594790E-1,-2.370311320E-1,-1.312437892E0,-5.833898783E-1
7.256639590E-1,-2.327700704E-1,-1.324155807E0,-5.844551921E-1
7.276684380E-1,-2.263784856E-1,-1.339069486E0,-5.801941156E-1
7.296729690E-1,-2.242479622E-1,-1.353983164E0,-5.833898783E-1
7.316775000E-1,-2.167911232E-1,-1.364635825E0,-5.759330392E-1
7.336820310E-1,-2.125300616E-1,-1.379549503E0,-5.748677850E-1
7.356865630E-1,-2.072037458E-1,-1.392332673E0,-5.695414543E-1
7.376910940E-1,-2.072037458E-1,-1.405115843E0,-5.652804375E-1
7.396956250E-1,-1.965511143E-1,-1.407246351E0,-5.652804375E-1
7.417001560E-1,-1.901595294E-1,-1.409376860E0,-5.588888526E-1
7.437046880E-1,-1.848332137E-1,-1.415768385E0,-5.588888526E-1
7.457092190E-1,-1.752458364E-1,-1.428551555E0,-5.503667593E-1
7.477137500E-1,-1.720500439E-1,-1.439204216E0,-5.493014455E-1
7.497182810E-1,-1.688542664E-1,-1.443465233E0,-5.514320135E-1
7.517228130E-1,-1.635279357E-1,-1.455183148E0,-5.471709371E-1
7.537273440E-1,-1.613974124E-1,-1.462640047E0,-5.493014455E-1
7.557318750E-1,-1.528753042E-1,-1.475423217E0,-5.482361913E-1
7.577364060E-1,-1.443531960E-1,-1.485010624E0,-5.482361913E-1
7.597409380E-1,-1.432879269E-1,-1.498859048E0,-5.493014455E-1
7.617454690E-1,-1.337005645E-1,-1.515903234E0,-5.546277761E-1
7.637500000E-1,-1.347658336E-1,-1.534012675E0,-5.535625219E-1
7.657545310E-1,-1.273089796E-1,-1.551056862E0,-5.652804375E-1
7.677590630E-1,-1.219826639E-1,-1.573427439E0,-5.684762001E-1
7.697635940E-1,-1.177216098E-1,-1.596863270E0,-5.748677850E-1
7.717681250E-1,-1.230479255E-1,-1.626690626E0,-5.812593699E-1
7.737726560E-1,-1.166563481E-1,-1.650126457E0,-5.940425396E-1
7.757771880E-1,-1.102647632E-1,-1.679953814E0,-6.057604551E-1
7.777817190E-1,-1.113300323E-1,-1.707650661E0,-6.132172942E-1
7.797862500E-1,-1.091995016E-1,-1.742804289E0,-6.249352098E-1
7.817907810E-1,-1.070689708E-1,-1.779023290E0,-6.387836337E-1
7.837953130E-1,-1.038731858E-1,-1.810981154E0,-6.483709812E-1
7.857998440E-1,-9.854686260E-2,-1.842939138E0,-6.611541510E-1
7.878043750E-1,-1.006773934E-1,-1.879158020E0,-6.760678291E-1
7.898089060E-1,-9.215528518E-2,-1.914311767E0,-6.931120753E-1
7.918133860E-1,-8.682896942E-2,-1.949465513E0,-7.037646770E-1
7.938178650E-1,-8.469843864E-2,-1.979292870E0,-7.176131010E-1
7.958223440E-1,-7.830686122E-2,-2.012315989E0,-7.367878556E-1
7.978268230E-1,-7.191527635E-2,-2.044273853E0,-7.538320422E-1
7.998313020E-1,-6.339316815E-2,-2.080492973E0,-7.655499578E-1
8.018357810E-1,-5.700159073E-2,-2.114581347E0,-7.751373649E-1
8.038402610E-1,-5.167526752E-2,-2.149734974E0,-7.900510430E-1
8.058447400E-1,-4.741421342E-2,-2.183823347E0,-8.028342128E-1
8.078492190E-1,-3.782684356E-2,-2.212585449E0,-8.198783994E-1
