"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.848162644E1,-9.799427986E-1,8.787095070E0,4.151787758E0
3.848363086E1,-9.511970282E-1,8.782303810E0,4.166161060E0
3.848563529E1,-9.607789516E-1,8.777512550E0,4.170951843E0
3.848763972E1,-9.703608751E-1,8.767930984E0,4.161369801E0
3.848964414E1,-9.703608751E-1,8.772722244E0,4.170951843E0
3.849164857E1,-9.799427986E-1,8.777512550E0,4.180533886E0
3.849365300E1,-9.943156242E-1,8.782303810E0,4.190115452E0
3.849565743E1,-9.751517773E-1,8.787095070E0,4.166161060E0
3.849766185E1,-9.655698538E-1,8.772722244E0,4.166161060E0
3.849966628E1,-9.895246029E-1,8.772722244E0,4.166161060E0
3.850167071E1,-9.991065264E-1,8.801467896E0,4.166161060E0
3.850367513E1,-9.751517773E-1,8.787095070E0,4.166161060E0
3.850567956E1,-9.847337008E-1,8.791885376E0,4.156579018E0
3.850768399E1,-9.703608751E-1,8.767930984E0,4.156579018E0
3.850968842E1,-9.751517773E-1,8.791885376E0,4.175742626E0
3.851169289E1,-9.607789516E-1,8.777512550E0,4.156579018E0
3.851369737E1,-9.751517773E-1,8.763139725E0,4.170951843E0
3.851570185E1,-9.799427986E-1,8.772722244E0,4.166161060E0
3.851770633E1,-9.703608751E-1,8.772722244E0,4.151787758E0
3.851971081E1,-9.799427986E-1,8.767930984E0,4.151787758E0
3.852171529E1,-9.895246029E-1,8.753558159E0,4.185324669E0
3.852371977E1,-9.847337008E-1,8.777512550E0,4.175742626E0
3.852572425E1,-9.847337008E-1,8.772722244E0,4.170951843E0
3.852772873E1,-9.943156242E-1,8.782303810E0,4.175742626E0
3.852973321E1,-9.895246029E-1,8.772722244E0,4.190115452E0
3.853173769E1,-9.703608751E-1,8.782303810E0,4.175742626E0
3.853374216E1,-9.655698538E-1,8.763139725E0,4.185324669E0
3.853574664E1,-9.607789516E-1,8.772722244E0,4.204488277E0
3.853775112E1,-9.511970282E-1,8.777512550E0,4.180533886E0
3.853975560E1,-9.559879303E-1,8.777512550E0,4.185324669E0
3.854176008E1,-9.703608751E-1,8.753558159E0,4.194906712E0
3.854376456E1,-9.559879303E-1,8.772722244E0,4.194906712E0
3.854576904E1,-9.607789516E-1,8.777512550E0,4.214070320E0
3.854777352E1,-9.607789516E-1,8.772722244E0,4.204488277E0
3.854977800E1,-9.751517773E-1,8.772722244E0,4.190115452E0
3.855178248E1,-9.703608751E-1,8.772722244E0,4.199697495E0
3.855378696E1,-9.655698538E-1,8.763139725E0,4.199697495E0
3.855579144E1,-9.847337008E-1,8.777512550E0,4.204488277E0
3.855779592E1,-9.751517773E-1,8.777512550E0,4.199697495E0
3.855980039E1,-9.943156242E-1,8.791885376E0,4.214070320E0
3.856180487E1,-9.895246029E-1,8.777512550E0,4.223652363E0
3.856380935E1,-1.008688450E0,8.777512550E0,4.218861580E0
3.856581383E1,-1.008688450E0,8.791885376E0,4.228443146E0
3.856781831E1,-1.008688450E0,8.801467896E0,4.214070320E0
3.856982279E1,-1.023061395E0,8.801467896E0,4.209279537E0
3.857182727E1,-1.018270373E0,8.811049461E0,4.218861580E0
3.857383175E1,-9.991065264E-1,8.806258202E0,4.218861580E0
3.857583623E1,-1.008688450E0,8.806258202E0,4.214070320E0
3.857784071E1,-1.008688450E0,8.815840721E0,4.199697495E0
3.857984519E1,-1.018270373E0,8.815840721E0,4.214070320E0
3.858184966E1,-1.018270373E0,8.815840721E0,4.218861580E0
3.858385414E1,-1.023061395E0,8.825422287E0,4.218861580E0
3.858585862E1,-9.991065264E-1,8.815840721E0,4.194906712E0
3.858786310E1,-1.003897548E0,8.830213547E0,4.204488277E0
3.858986758E1,-9.991065264E-1,8.830213547E0,4.194906712E0
3.859187206E1,-1.013479471E0,8.844586372E0,4.190115452E0
3.859387654E1,-9.943156242E-1,8.835004807E0,4.190115452E0
3.859588102E1,-9.895246029E-1,8.835004807E0,4.194906712E0
3.859788550E1,-9.991065264E-1,8.839795113E0,4.180533886E0
3.859988998E1,-9.799427986E-1,8.839795113E0,4.190115452E0
3.860189446E1,-9.751517773E-1,8.835004807E0,4.185324669E0
3.860389894E1,-9.799427986E-1,8.844586372E0,4.170951843E0
3.860590342E1,-9.703608751E-1,8.839795113E0,4.170951843E0
3.860790789E1,-9.751517773E-1,8.844586372E0,4.156579018E0
3.860991237E1,-9.655698538E-1,8.839795113E0,4.170951843E0
3.861191685E1,-9.607789516E-1,8.839795113E0,4.156579018E0
3.861392133E1,-9.511970282E-1,8.839795113E0,4.151787758E0
3.861592581E1,-9.655698538E-1,8.825422287E0,4.190115452E0
3.861793029E1,-9.511970282E-1,8.820631981E0,4.156579018E0
3.861993477E1,-9.464060068E-1,8.815840721E0,4.180533886E0
3.862193925E1,-9.511970282E-1,8.815840721E0,4.156579018E0
3.862394373E1,-9.416151047E-1,8.839795113E0,4.185324669E0
3.862594821E1,-9.320331812E-1,8.815840721E0,4.175742626E0
3.862795269E1,-9.320331812E-1,8.791885376E0,4.190115452E0
3.862995716E1,-9.320331812E-1,8.791885376E0,4.190115452E0
3.863196164E1,-9.224512577E-1,8.806258202E0,4.170951843E0
3.863396612E1,-9.128693342E-1,8.791885376E0,4.175742626E0
3.863597060E1,-9.224512577E-1,8.782303810E0,4.185324669E0
3.863797508E1,-9.128693342E-1,8.777512550E0,4.166161060E0
3.863997956E1,-9.272422194E-1,8.791885376E0,4.170951843E0
3.864198404E1,-9.368241429E-1,8.767930984E0,4.185324669E0
3.864398852E1,-9.416151047E-1,8.791885376E0,4.161369801E0
3.864599300E1,-9.416151047E-1,8.777512550E0,4.166161060E0
3.864799748E1,-9.464060068E-1,8.782303810E0,4.146996975E0
3.865000196E1,-9.272422194E-1,8.772722244E0,4.166161060E0
3.865200644E1,-9.416151047E-1,8.791885376E0,4.146996975E0
3.865401092E1,-9.416151047E-1,8.801467896E0,4.151787758E0
3.865601539E1,-9.320331812E-1,8.791885376E0,4.146996975E0
3.865801987E1,-9.655698538E-1,8.796676636E0,4.151787758E0
3.866002435E1,-9.607789516E-1,8.811049461E0,4.146996975E0
3.866202883E1,-9.559879303E-1,8.815840721E0,4.156579018E0
3.866403331E1,-9.751517773E-1,8.825422287E0,4.151787758E0
3.866603779E1,-9.847337008E-1,8.820631981E0,4.156579018E0
3.866804227E1,-9.895246029E-1,8.849377632E0,4.175742626E0
3.867004675E1,-9.943156242E-1,8.844586372E0,4.166161060E0
3.867205123E1,-9.895246029E-1,8.844586372E0,4.146996975E0
3.867405571E1,-9.943156242E-1,8.863750458E0,4.161369801E0
3.867606019E1,-9.943156242E-1,8.844586372E0,4.156579018E0
3.867806466E1,-9.751517773E-1,8.868540764E0,4.151787758E0
3.868006914E1,-9.703608751E-1,8.863750458E0,4.151787758E0
3.868207362E1,-9.799427986E-1,8.873332024E0,4.156579018E0
3.868407810E1,-9.655698538E-1,8.868540764E0,4.170951843E0
3.868608258E1,-9.799427986E-1,8.868540764E0,4.170951843E0
3.868808706E1,-9.655698538E-1,8.858959198E0,4.175742626E0
3.869009154E1,-9.703608751E-1,8.858959198E0,4.180533886E0
3.869209602E1,-9.511970282E-1,8.849377632E0,4.185324669E0
3.869410050E1,-9.751517773E-1,8.863750458E0,4.190115452E0
3.869610493E1,-9.655698538E-1,8.844586372E0,4.185324669E0
3.869810935E1,-9.655698538E-1,8.844586372E0,4.194906712E0
3.870011378E1,-9.703608751E-1,8.830213547E0,4.209279537E0
3.870211821E1,-9.751517773E-1,8.830213547E0,4.209279537E0
3.870412263E1,-9.751517773E-1,8.835004807E0,4.185324669E0
3.870612706E1,-9.799427986E-1,8.811049461E0,4.194906712E0
3.870813149E1,-9.751517773E-1,8.825422287E0,4.214070320E0
3.871013592E1,-9.607789516E-1,8.815840721E0,4.204488277E0
3.871214034E1,-9.607789516E-1,8.806258202E0,4.199697495E0
3.871414477E1,-9.895246029E-1,8.811049461E0,4.204488277E0
3.871614920E1,-9.847337008E-1,8.806258202E0,4.194906712E0
3.871815362E1,-1.003897548E0,8.787095070E0,4.199697495E0
3.872015805E1,-9.991065264E-1,8.815840721E0,4.209279537E0
3.872216248E1,-1.013479471E0,8.806258202E0,4.180533886E0
3.872416691E1,-1.008688450E0,8.796676636E0,4.204488277E0
3.872617133E1,-1.018270373E0,8.811049461E0,4.199697495E0
3.872817576E1,-1.003897548E0,8.825422287E0,4.190115452E0
3.873018019E1,-9.991065264E-1,8.796676636E0,4.185324669E0
3.873218461E1,-9.943156242E-1,8.787095070E0,4.166161060E0
3.873418904E1,-9.895246029E-1,8.801467896E0,4.194906712E0
3.873619347E1,-9.847337008E-1,8.825422287E0,4.185324669E0
3.873819789E1,-9.847337008E-1,8.825422287E0,4.180533886E0
3.874020232E1,-9.607789516E-1,8.825422287E0,4.161369801E0
3.874220675E1,-9.607789516E-1,8.815840721E0,4.151787758E0
3.874421118E1,-9.416151047E-1,8.801467896E0,4.170951843E0
3.874621560E1,-9.464060068E-1,8.830213547E0,4.170951843E0
3.874822003E1,-9.416151047E-1,8.844586372E0,4.156579018E0
3.875022446E1,-9.607789516E-1,8.830213547E0,4.170951843E0
3.875222888E1,-9.368241429E-1,8.849377632E0,4.170951843E0
3.875423331E1,-9.464060068E-1,8.849377632E0,4.175742626E0
3.875623774E1,-9.320331812E-1,8.849377632E0,4.166161060E0
3.875824217E1,-9.320331812E-1,8.858959198E0,4.175742626E0
3.876024659E1,-9.320331812E-1,8.863750458E0,4.156579018E0
3.876225107E1,-9.464060068E-1,8.858959198E0,4.170951843E0
3.876425555E1,-9.176602960E-1,8.854167938E0,4.180533886E0
3.876626003E1,-9.320331812E-1,8.863750458E0,4.166161060E0
3.876826451E1,-9.368241429E-1,8.863750458E0,4.175742626E0
3.877026899E1,-9.224512577E-1,8.863750458E0,4.161369801E0
3.877227347E1,-9.272422194E-1,8.858959198E0,4.180533886E0
3.877427795E1,-9.176602960E-1,8.854167938E0,4.175742626E0
3.877628243E1,-9.128693342E-1,8.882913589E0,4.161369801E0
3.877828690E1,-9.032874107E-1,8.863750458E0,4.146996975E0
3.878029138E1,-8.937055469E-1,8.863750458E0,4.146996975E0
3.878229586E1,-9.080783725E-1,8.887704849E0,4.132624149E0
3.878430034E1,-8.889145851E-1,8.882913589E0,4.142206192E0
3.878630482E1,-8.841236234E-1,8.882913589E0,4.137414932E0
3.878830930E1,-8.793326616E-1,8.868540764E0,4.146996975E0
3.879031378E1,-8.697507381E-1,8.892496109E0,4.146996975E0
3.879231826E1,-8.745416999E-1,8.863750458E0,4.127833366E0
3.879432274E1,-8.649597764E-1,8.858959198E0,4.127833366E0
3.879632722E1,-8.937055469E-1,8.863750458E0,4.137414932E0
3.879833170E1,-8.841236234E-1,8.854167938E0,4.132624149E0
3.880033618E1,-8.984964490E-1,8.844586372E0,4.142206192E0
3.880234066E1,-8.889145851E-1,8.849377632E0,4.156579018E0
3.880434513E1,-8.937055469E-1,8.854167938E0,4.156579018E0
3.880634961E1,-9.032874107E-1,8.849377632E0,4.146996975E0
